Time,Status
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:30,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,Mask
11:25:31,No Mask
11:25:31,Mask
11:25:31,No Mask
11:25:31,No Mask
11:25:31,Mask
11:25:32,Mask
11:25:32,No Mask
11:25:32,Mask
11:25:32,No Mask
11:25:32,Mask
11:25:32,Mask
11:25:32,No Mask
11:25:32,Mask
11:25:32,No Mask
11:25:32,No Mask
11:25:32,No Mask
11:25:32,Mask
11:25:32,Mask
11:25:32,Mask
11:25:32,Mask
11:25:32,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,No Mask
11:25:33,No Mask
11:25:33,Mask
11:25:33,Mask
11:25:33,No Mask
11:25:33,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:34,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:35,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,No Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,No Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,Mask
11:25:36,No Mask
11:25:36,Mask
